id,エリアコード,エリア名,英名,事務所名,子エリアID
1,010100,北海道地方,Hokkaido,札幌管区気象台,011000
2,010100,北海道地方,Hokkaido,札幌管区気象台,012000
3,010100,北海道地方,Hokkaido,札幌管区気象台,013000
4,010100,北海道地方,Hokkaido,札幌管区気象台,014030
5,010100,北海道地方,Hokkaido,札幌管区気象台,014100
6,010100,北海道地方,Hokkaido,札幌管区気象台,015000
7,010100,北海道地方,Hokkaido,札幌管区気象台,016000
8,010100,北海道地方,Hokkaido,札幌管区気象台,017000
9,010200,東北地方,Tohoku,仙台管区気象台,020000
10,010200,東北地方,Tohoku,仙台管区気象台,030000
11,010200,東北地方,Tohoku,仙台管区気象台,040000
12,010200,東北地方,Tohoku,仙台管区気象台,050000
13,010200,東北地方,Tohoku,仙台管区気象台,060000
14,010200,東北地方,Tohoku,仙台管区気象台,070000
15,010300,関東甲信地方,Kanto Koshin,気象庁,080000
16,010300,関東甲信地方,Kanto Koshin,気象庁,090000
17,010300,関東甲信地方,Kanto Koshin,気象庁,100000
18,010300,関東甲信地方,Kanto Koshin,気象庁,110000
19,010300,関東甲信地方,Kanto Koshin,気象庁,120000
20,010300,関東甲信地方,Kanto Koshin,気象庁,130000
21,010300,関東甲信地方,Kanto Koshin,気象庁,140000
22,010300,関東甲信地方,Kanto Koshin,気象庁,190000
23,010300,関東甲信地方,Kanto Koshin,気象庁,200000
24,010400,東海地方,Tokai,名古屋地方気象台,210000
25,010400,東海地方,Tokai,名古屋地方気象台,220000
26,010400,東海地方,Tokai,名古屋地方気象台,230000
27,010400,東海地方,Tokai,名古屋地方気象台,240000
28,010500,北陸地方,Hokuriku,新潟地方気象台,150000
29,010500,北陸地方,Hokuriku,新潟地方気象台,160000
30,010500,北陸地方,Hokuriku,新潟地方気象台,170000
31,010500,北陸地方,Hokuriku,新潟地方気象台,180000
32,010600,近畿地方,Kinki,大阪管区気象台,250000
33,010600,近畿地方,Kinki,大阪管区気象台,260000
34,010600,近畿地方,Kinki,大阪管区気象台,270000
35,010600,近畿地方,Kinki,大阪管区気象台,280000
36,010600,近畿地方,Kinki,大阪管区気象台,290000
37,010600,近畿地方,Kinki,大阪管区気象台,300000
38,010700,中国地方（山口県を除く）,Chugoku (Excluding Yamaguchi),広島地方気象台,310000
39,010700,中国地方（山口県を除く）,Chugoku (Excluding Yamaguchi),広島地方気象台,320000
40,010700,中国地方（山口県を除く）,Chugoku (Excluding Yamaguchi),広島地方気象台,330000
41,010700,中国地方（山口県を除く）,Chugoku (Excluding Yamaguchi),広島地方気象台,340000
42,010800,四国地方,Shikoku,高松地方気象台,360000
43,010800,四国地方,Shikoku,高松地方気象台,370000
44,010800,四国地方,Shikoku,高松地方気象台,380000
45,010800,四国地方,Shikoku,高松地方気象台,390000
46,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,350000
47,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,400000
48,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,410000
49,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,420000
50,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,430000
51,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),福岡管区気象台,440000
52,011000,九州南部・奄美地方,Southern Kyushu and Amami,鹿児島地方気象台,450000
53,011000,九州南部・奄美地方,Southern Kyushu and Amami,鹿児島地方気象台,460040
54,011000,九州南部・奄美地方,Southern Kyushu and Amami,鹿児島地方気象台,460100
55,011100,沖縄地方,Okinawa,沖縄気象台,471000
56,011100,沖縄地方,Okinawa,沖縄気象台,472000
57,011100,沖縄地方,Okinawa,沖縄気象台,473000
58,011100,沖縄地方,Okinawa,沖縄気象台,474000
