ID,Children Code,Area Name,Area Code,Date,Weather Codes,Weathers,Winds,Waves
1,011000,宗谷地方,011000,2024-12-04T11:00:00+09:00,402,雪　で　ふぶく　夕方　から　夜のはじめ頃　くもり　所により　雷　を伴う,西の風　やや強く　海上　では　西の風　強く,３メートル　後　２．５メートル
1,011000,宗谷地方,011000,2024-12-05T00:00:00+09:00,402,雪　で　ふぶく　時々　くもり　所により　昼前　まで　雷　を伴う,西の風　やや強く　海上　では　西の風　強く,２．５メートル　後　３メートル
1,011000,宗谷地方,011000,2024-12-06T00:00:00+09:00,402,雪　時々　くもり,北西の風　後　西の風,２メートル　後　２．５メートル
2,012000,上川地方,012010,2024-12-04T11:00:00+09:00,402,雪　時々　くもり　所により　雷　を伴う,西の風　後　南の風,なし
2,012000,上川地方,012010,2024-12-05T00:00:00+09:00,402,雪　時々　くもり　所により　昼前　まで　雷　を伴う,南の風　日中　西の風,なし
2,012000,上川地方,012010,2024-12-06T00:00:00+09:00,402,雪　時々　くもり,南西の風　後　西の風,なし
2,012000,留萌地方,012020,2024-12-04T11:00:00+09:00,400,雪　で　ふぶく　所により　雷　を伴う,西の風　やや強く　海上　では　西の風　強く,３メートル　後　２．５メートル
2,012000,留萌地方,012020,2024-12-05T00:00:00+09:00,402,雪　で　ふぶく　夕方　から　時々　くもり　所により　昼前　まで　雷　を伴う,西の風　やや強く　海上　では　西の風　強く,２．５メートル　後　３メートル
2,012000,留萌地方,012020,2024-12-06T00:00:00+09:00,402,雪　で　ふぶく　時々　くもり,西の風　やや強く,２メートル　後　３メートル
3,013000,網走地方,013010,2024-12-04T11:00:00+09:00,413,雪　昼過ぎ　から　くもり,南の風　後　北西の風　海上　では　西の風　やや強く,１メートル　後　１．５メートル
3,013000,網走地方,013010,2024-12-05T00:00:00+09:00,101,晴れ　時々　くもり,南の風　後　西の風　海上　では　南西の風　やや強く,１．５メートル　後　２メートル
3,013000,網走地方,013010,2024-12-06T00:00:00+09:00,201,くもり　時々　晴れ,南西の風　後　北西の風,２メートル
3,013000,北見地方,013020,2024-12-04T11:00:00+09:00,200,くもり　所により　夕方　まで　雪,南の風　後　北西の風,なし
3,013000,北見地方,013020,2024-12-05T00:00:00+09:00,101,晴れ　時々　くもり,南西の風,なし
3,013000,北見地方,013020,2024-12-06T00:00:00+09:00,201,くもり　時々　晴れ,南西の風　後　西の風,なし
3,013000,紋別地方,013030,2024-12-04T11:00:00+09:00,204,くもり　昼過ぎ　一時　雪　で　ふぶく,南西の風　やや強く　後　西の風,１．５メートル
3,013000,紋別地方,013030,2024-12-05T00:00:00+09:00,204,くもり　朝　一時　雪,南西の風　後　西の風　海上　では　西の風　やや強く,１メートル　後　１．５メートル
3,013000,紋別地方,013030,2024-12-06T00:00:00+09:00,204,くもり　一時　雪,南西の風　後　西の風,１．５メートル
5,014100,釧路地方,014020,2024-12-04T11:00:00+09:00,211,くもり　夕方　から　晴れ　所により　昼前　雪,西の風　後　やや強く,１メートル　後　２メートル
5,014100,釧路地方,014020,2024-12-05T00:00:00+09:00,101,晴れ　昼前　まで　時々　くもり　所により　朝　から　昼前　雪,西の風　日中　やや強く,２メートル　後　２．５メートル
5,014100,釧路地方,014020,2024-12-06T00:00:00+09:00,201,くもり　時々　晴れ,西の風　後　やや強く,２メートル
5,014100,根室地方,014010,2024-12-04T11:00:00+09:00,411,雪　昼過ぎ　から　くもり　後　晴れ,北の風　後　西の風　海上　では　西の風　やや強く,１．５メートル　後　２メートル
5,014100,根室地方,014010,2024-12-05T00:00:00+09:00,101,晴れ　昼前　まで　時々　くもり　所により　朝　から　昼前　雪か雨,西の風　海上　では　西の風　やや強く,２メートル　後　２．５メートル
5,014100,根室地方,014010,2024-12-06T00:00:00+09:00,201,くもり　時々　晴れ,西の風,２メートル
5,014100,十勝地方,014030,2024-12-04T11:00:00+09:00,211,くもり　夕方　から　晴れ　所により　昼過ぎ　まで　雪,西の風　海上　では　西の風　やや強く,１メートル　後　２メートル
5,014100,十勝地方,014030,2024-12-05T00:00:00+09:00,101,晴れ　昼前　まで　時々　くもり　所により　朝　まで　雪,西の風　海上　では　西の風　やや強く,２メートル　後　２．５メートル
5,014100,十勝地方,014030,2024-12-06T00:00:00+09:00,201,くもり　時々　晴れ,北東の風　後　北西の風,２メートル
6,015000,胆振地方,015010,2024-12-04T11:00:00+09:00,204,くもり　昼過ぎ　一時　雪　で　ふぶく,西の風　後　やや強く,１メートル　後　１．５メートル
6,015000,胆振地方,015010,2024-12-05T00:00:00+09:00,204,くもり　明け方　一時　雪,西の風　後　やや強く,１．５メートル
6,015000,胆振地方,015010,2024-12-06T00:00:00+09:00,204,くもり　一時　雪,北の風　後　西の風,１メートル　後　１．５メートル
6,015000,日高地方,015020,2024-12-04T11:00:00+09:00,413,雪　昼過ぎ　から　くもり,西の風　後　やや強く,１メートル　後　２メートル
